Datum,Check in,Vertrek,Check uit,Bestemming,Af,Bij,Transactie,Kl,Product,Prive/ Zakelijk,Opmerking
15-07-2023,07:56,Henk Sneevlietweg,08:04,Station Lelylaan,"€1,33","€0,00",Reis,2.0,"Bus, Tram en Metro reizen",,
24-08-2023,18:28,Rotterdam Alexander,18:43,Rotterdam Centraal,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
05-07-2023,08:27,Rotterdam Centraal,08:43,Rotterdam Alexander,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
03-07-2023,16:20,Rotterdam Alexander,16:32,Rotterdam Centraal,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
15-08-2023,08:57,Rotterdam Centraal,09:16,Rotterdam Alexander,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
29-06-2023,08:14,Rotterdam Centraal,08:28,Rotterdam Alexander,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
11-06-2023,18:15,Halte Onbekend.,18:26,Halte Onbekend,"€1,08","€0,00",Reis,2.0,"Bus, Tram en Metro reizen",,
27-04-2023,11:49,Rotterdam Centraal,12:04,Rotterdam Centraal,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
22-03-2023,08:13,Rotterdam Centraal,08:29,Rotterdam Alexander,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
14-07-2023,08:26,Rotterdam Centraal,08:45,Rotterdam Alexander,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
21-06-2023,08:13,Rotterdam Centraal,08:28,Rotterdam Alexander,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
05-05-2023,15:49,Rotterdam Alexander,16:38,Rotterdam Centraal,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
09-07-2023,14:20,Breda,14:52,Rotterdam Centraal,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
24-06-2023,11:12,Schiedam Centrum,11:58,Utrecht Centraal,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
16-07-2023,17:05,Leiden Centraal,17:50,Rotterdam Centraal,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
14-07-2023,00:19,Delflandlaan,00:23,Louwesweg,"€0,30","€0,00",Reis,2.0,"Bus, Tram en Metro reizen",,
28-08-2023,17:43,Rotterdam Alexander,18:00,Rotterdam Centraal,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
10-05-2023,17:50,Rotterdam Alexander,18:09,Rotterdam Centraal,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
05-05-2023,07:59,Rotterdam Centraal,08:13,Rotterdam Alexander,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
04-05-2023,07:50,Rotterdam Centraal,08:04,Rotterdam Alexander,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
