Datum,Check in,Vertrek,Check uit,Bestemming,Af,Bij,Transactie,Kl,Product,Prive/ Zakelijk,Opmerking
30-08-2023,15:25,Rotterdam Centraal perron Dd,15:30,Burg. Meineszplein,"€1,33","€0,00",Reis,2.0,"Bus, Tram en Metro reizen",,
30-08-2023,15:13,Rotterdam Alexander,15:25,Rotterdam Centraal,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
30-08-2023,07:39,Rotterdam Centraal,08:00,Rotterdam Alexander,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
30-08-2023,07:33,Burg. Meineszplein,07:37,Rotterdam Centraal,"€1,36","€0,00",Reis,2.0,"Bus, Tram en Metro reizen",,
29-08-2023,07:43,Rotterdam Centraal,08:01,Rotterdam Alexander,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
28-08-2023,17:43,Rotterdam Alexander,18:00,Rotterdam Centraal,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
28-08-2023,06:58,Rotterdam Centraal,07:14,Rotterdam Alexander,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
25-08-2023,18:13,Rotterdam Alexander,18:28,Rotterdam Centraal,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
25-08-2023,08:28,Rotterdam Centraal,08:43,Rotterdam Alexander,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
24-08-2023,18:28,Rotterdam Alexander,18:43,Rotterdam Centraal,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
24-08-2023,08:44,Rotterdam Centraal,08:58,Rotterdam Alexander,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
23-08-2023,16:58,Rotterdam Alexander,17:11,Rotterdam Centraal,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
23-08-2023,08:42,Rotterdam Centraal,09:09,Alexander,"€2,84","€0,00",Reis,2.0,"Bus, Tram en Metro reizen",,
23-08-2023,08:13,Rotterdam Centraal,08:36,Rotterdam Centraal,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
22-08-2023,17:13,Rotterdam Alexander,17:27,Rotterdam Centraal,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
22-08-2023,07:59,Rotterdam Centraal,08:14,Rotterdam Alexander,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
21-08-2023,16:44,Rotterdam Alexander,16:56,Rotterdam Centraal,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
21-08-2023,08:11,Rotterdam Centraal,08:28,Rotterdam Alexander,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
19-08-2023,19:49,Rotterdam Centraal,19:52,Rotterdam Centraal,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
19-08-2023,14:51,Rotterdam Centraal,14:53,Rotterdam Centraal,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
17-08-2023,16:14,Rotterdam Alexander,16:27,Rotterdam Centraal,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
17-08-2023,09:12,Rotterdam Centraal,09:28,Rotterdam Alexander,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
16-08-2023,17:21,Rotterdam Alexander,17:37,Rotterdam Centraal,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
16-08-2023,08:28,Rotterdam Centraal,08:43,Rotterdam Alexander,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
15-08-2023,18:09,Rotterdam Alexander,18:26,Rotterdam Centraal,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
15-08-2023,08:57,Rotterdam Centraal,09:16,Rotterdam Alexander,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
11-08-2023,11:04,Rotterdam Centraal,12:51,Horst-Sevenum,"€15,12","€0,00",Reis,2.0,Reizen op Rekening Trein,,
10-08-2023,16:42,Rotterdam Alexander,17:03,Rotterdam Centraal,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
10-08-2023,07:57,Rotterdam Centraal,08:13,Rotterdam Alexander,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
08-08-2023,17:14,Rotterdam Alexander,17:26,Rotterdam Centraal,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
08-08-2023,08:15,Rotterdam Centraal,08:28,Rotterdam Alexander,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
07-08-2023,17:19,Rotterdam Alexander,17:38,Rotterdam Centraal,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
07-08-2023,08:11,Rotterdam Centraal,08:29,Rotterdam Alexander,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
06-08-2023,23:10,Rotterdam Centraal,23:12,Rotterdam Centraal,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
28-07-2023,11:20,Rotterdam Alexander,11:38,Rotterdam Centraal,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
25-07-2023,21:44,Rotterdam Centraal,22:04,Rotterdam Alexander,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
25-07-2023,17:54,Rotterdam Alexander,18:14,Rotterdam Centraal,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
21-07-2023,18:16,Rotterdam Alexander,18:31,Rotterdam Centraal,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
21-07-2023,08:13,Rotterdam Centraal,08:28,Rotterdam Alexander,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
20-07-2023,18:11,Rotterdam Alexander,18:27,Rotterdam Centraal,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
20-07-2023,08:28,Rotterdam Centraal,08:42,Rotterdam Alexander,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
18-07-2023,16:50,Rotterdam Alexander,17:08,Rotterdam Centraal,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
18-07-2023,08:42,Rotterdam Centraal,08:58,Rotterdam Alexander,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
17-07-2023,16:20,Rotterdam Alexander,16:37,Rotterdam Centraal,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
17-07-2023,08:17,Rotterdam Centraal,08:34,Rotterdam Alexander,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
14-07-2023,18:47,Rotterdam Alexander,19:07,Rotterdam Centraal,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
14-07-2023,08:26,Rotterdam Centraal,08:45,Rotterdam Alexander,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
12-07-2023,16:21,Rotterdam Alexander,16:37,Rotterdam Centraal,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
12-07-2023,08:25,Rotterdam Centraal,08:44,Rotterdam Alexander,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
11-07-2023,16:52,Rotterdam Alexander,17:07,Rotterdam Centraal,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
11-07-2023,08:28,Rotterdam Centraal,08:44,Rotterdam Alexander,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
10-07-2023,16:50,Rotterdam Alexander,17:08,Rotterdam Centraal,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
10-07-2023,08:17,Rotterdam Centraal,08:34,Rotterdam Alexander,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
07-07-2023,12:49,Rotterdam Centraal,12:51,Rotterdam Centraal,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
06-07-2023,16:27,Rotterdam Alexander,16:52,Rotterdam Centraal,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
06-07-2023,08:59,Rotterdam Centraal,09:14,Rotterdam Alexander,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
05-07-2023,21:08,Rotterdam Alexander,21:34,Rotterdam Centraal,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
05-07-2023,08:27,Rotterdam Centraal,08:43,Rotterdam Alexander,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
04-07-2023,17:12,Rotterdam Alexander,17:26,Rotterdam Centraal,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
04-07-2023,08:42,Rotterdam Centraal,08:58,Rotterdam Alexander,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
03-07-2023,16:20,Rotterdam Alexander,16:32,Rotterdam Centraal,"€0,00","€0,00",Reis,2.0,Reizen op Rekening Trein,,
